"Owners","LicenseNumber","BusinessName","Status","IssueDate","RenewDate","ExpireDate","HasTelemedicine","PhysicalCity","PhysicalCountry","PhysicalLine1","PhysicalLine2","PhysicalState","PhysicalZip","PhysicalZipPlus","MailingCity","MailingCountry","MailingLine1","MailingLine2","MailingState","MailingZip","MailingZipPlus"
"Nome Harbor Holdings, LLC",2145828,"Nome Harbor Holdings, LLC","Active",12/19/2021,10/24/2025,12/31/2027,"No","Nome","UNITED STATES","Lot 1 Morningstar Subdivision",,"AK","99762",,"Nome","UNITED STATES","P.O. Box 1435",,"AK","99762",
"Ridgeline Advisors LLC",2145829,"Ridgeline Advisors LLC","Active",12/19/2021,10/28/2025,12/31/2027,"No","Anchorage","UNITED STATES","12740 Silver Spruce Dr",,"AK","99516",,"Anchorage","UNITED STATES","PO Box 111254",,"AK","99511",
"ZORAIDA HERNANDEZ",2145836,"DIOMITAS CLEANING","Active",12/19/2021,1/21/2026,12/31/2026,"No","ANCHORAGE","UNITED STATES","4524 REKA DRIVE",,"AK","99508",,"ANCHORAGE","UNITED STATES","4524 REKA DRIVE",,"AK","99508",
"Honeybloom Floral Design, LLC",2145837,"Honeybloom Floral Design, LLC","Active",12/19/2021,12/30/2025,12/31/2026,"No","Juneau","UNITED STATES","1008 Hooter Ln","Apt B5","AK","99801",,"Juneau","UNITED STATES","1008 Hooter Ln","Apt B5","AK","99801",
"Jackie McGahan; Wendy McGahan ;",2145838,"McGahan Metal Art","Active",12/19/2021,11/27/2024,12/31/2026,"No","Kenai","UNITED STATES","2819 Bryson Ave",,"AK","99611",,"Kenai","UNITED STATES","2819 Bryson ",,"AK","99611",
"FiveFiveSix Development Inc",2145841,"FiveFiveSix Development Inc","Active",12/19/2021,2/19/2025,12/31/2026,"No","FAIRBANKS","UNITED STATES","340 Merhar AE",,"AK","99701",,"FAIRBANKS","UNITED STATES","340 Merhar AVE",,"AK","99701",
"Joshua Holloway",2145843,"Old Peak Artisans","Active",12/19/2021,10/17/2025,12/31/2027,"No","Eagle River","UNITED STATES","33665 Cumulus",,"AK","99577",,"Eagle River","UNITED STATES","33665 Cumulus",,"AK","99577",
"Bruce McGinnis",2145850,"National Maintenance & Repair of KY","Active",12/20/2021,2/27/2025,12/31/2026,"No","Mukilteo","UNITED STATES","12125 Harbour Reach Dr","Suite D","WA","98275",,"South Point","UNITED STATES","PO Box 460",,"OH","45680",
"NORDIC COMPANY L.L.C.",2145858,"Nordic Construction Company","Active",12/20/2021,11/12/2024,12/31/2026,"No","Sitka","UNITED STATES","113 Harvest Way #7","P.O. Box 994","AK","99835",,"Sitka","UNITED STATES","113 Harvest Way #7","P.O. Box 994","AK","99835",
"David Hrnsel",2145862,"Wanderlust Guides","Active",12/20/2021,12/17/2025,12/31/2027,"No","wasilla","UNITED STATES","6817 s kuster dr ",,"AK","99654",,"big lake ","UNITED STATES","P.O. Box 521300",,"AK","99652","1300"
"Insight North America LLC",2145863,"Insight North America LLC","Active",12/20/2021,12/31/2025,12/31/2027,"No","New York","UNITED STATES","240 Greenwich Street",,"NY","10286",,"New York","UNITED STATES","240 Greenwich Street",,"NY","10286",
"AM Owner Group, Inc.",2145865,"AM Owner Group, Inc.","Active",12/20/2021,10/23/2025,12/31/2027,"No","Sitka","UNITED STATES","1512 Sawmill Creek Rd",,"AK","99835",,"Sitka","UNITED STATES","PO Box 1049",,"AK","99835",
"AK Premier Anesthesia Services LLC",2145868,"AK Premier Anesthesia Services LLC","Active",12/20/2021,10/5/2025,12/31/2027,"No","Eagle River","UNITED STATES","23307 Eagle River Rd",,"AK","99577","9655","Eagle River","UNITED STATES","23307 Eagle River Rd",,"AK","99577","9655"
"JRM Investments, LLC",2145870,"JRM Investments LLC","Active",12/20/2021,11/17/2025,12/31/2027,"No","PALMER","UNITED STATES","1658 N. HARMONY AVE",,"AK","99645",,"PALMER","UNITED STATES","P.O. BOX 281",,"AK","99645",
"Thane Paterson; Deborah Peterson;",2145879,"Waas Rentals","Active",12/20/2021,11/8/2024,12/31/2026,"No","KETCHIKAN","UNITED STATES","639 DEERMOUNT STREET",,"AK","99901","6611","KETCHIKAN","UNITED STATES","639 DEERMOUNT STREET",,"AK","99901","6611"
"CAR PLANET LLC",2145881,"CAR PLANET LLC","Active",12/20/2021,10/17/2025,12/31/2027,"No","Anchorage","UNITED STATES","6842 Lake Otis Pkwy","9077647931","AK","99507",,"Anchorage","UNITED STATES","6842 Lake Otis Pkwy",,"AK","99507",
"Fireweed Guesthouse LLC",2145882,"Fireweed Guesthouse LLC","Active",12/20/2021,12/9/2025,12/31/2027,"No","palmer","UNITED STATES","18093 east prospector circle","9077073674","AK","99645",,"Palmer","UNITED STATES","PO Box 72 ",,"AK","99645",
"Yoga Shack, LLC",2145892,"Yoga Shack, LLC","Active",12/20/2021,12/27/2025,12/31/2026,"No","Palmer","UNITED STATES","17005 E Smith Rd Ext",,"AK","99645",,"Palmer","UNITED STATES","17005 E Smith Rd Ext",,"AK","99645",
"theresa heyburn",2145893,"radiance massage therapy","Active",12/20/2021,12/30/2025,12/31/2027,"No","sitka","UNITED STATES","207 monastery street",,"AK","99835",,"sitka","UNITED STATES","207 monastery street",,"AK","99835",
"Cavner and Julian Outfitters LLC",2145897,"Cavner and Julian Outfitters LLC","Active",12/20/2021,12/31/2025,12/31/2027,"No","Port Alsworth","UNITED STATES","1 Dice Bay ",,"AK","99653",,"Palmer","UNITED STATES","PMB #396 1150 S. Colony Way Ste. 3",,"AK","99645",
"Kuqo LLC",2145899,"Kuqo LLC","Active",12/20/2021,12/31/2025,12/31/2027,"No","Bethel","UNITED STATES","5410 Noel Polty Blvd.",,"AK","99559",,"Bethel","UNITED STATES","PO Box 2927",,"AK","99559",
"KMK Appraisals, LLC",2145900,"KMK Appraisals, LLC","Active",12/20/2021,10/7/2025,12/31/2026,"No","Anchorage","UNITED STATES","12570 Toilsome Hill Dr.",,"AK","99516",,"Anchorage","UNITED STATES","12570 Toilsome Hill Dr.",,"AK","99516",
"Michele Forto",2145901,"Peak Experience","Active",12/20/2021,12/23/2025,12/31/2026,"No","Willow","UNITED STATES","9475 N Sue Dr",,"AK","99688",,"Wasilla","UNITED STATES","2152 E Mountain Village","Ste B-834","AK","99645",
"Brenda Taylor",2145906,"Brenda Taylor Consulting","Active",12/20/2021,12/15/2025,12/31/2027,"No","Juneau","UNITED STATES","995 Mendenhall Peninsula Road",,"AK","99801",,"Juneau","UNITED STATES","995 Mendenhall Peninsula Rd.",,"AK","99801",
"theresa heyburn",2145907,"cottages on monastery","Active",12/20/2021,12/30/2025,12/31/2027,"No","sitka","UNITED STATES","207 monastery street",,"AK","99835",,"sitka","UNITED STATES","207 monastery street",,"AK","99835",
"C&M Field Services LLC ",2145908,"C&M Field Services LLC","Active",12/20/2021,12/5/2025,12/31/2027,"No","WASILLA","UNITED STATES","9530 W BUSINESS PARK DR",,"AK","99623",,"CHUGIAK","UNITED STATES","PO Box 672577",,"AK","99567",
"Adelaide  Johnson",2145910,"Community Collaborators","Active",12/20/2021,1/8/2026,12/31/2027,"No","Juneau","UNITED STATES","423 Third Street",,"AK","99801",,"Juneau","UNITED STATES","423 Third Street",,"AK","99801",
"Stokes Services LLC",2145911,"Stokes Services LLC","Active",12/20/2021,11/15/2024,12/31/2026,"No","Anchorage","UNITED STATES","3441 West 88th Avenue #18",,"AK","99502",,"Anchorage","UNITED STATES","PO Box 220251",,"AK","99522",
"Barbara Kaufman",2145914,"North Road Treasures","Active",12/20/2021,1/6/2026,12/31/2027,"No","Nikiski","UNITED STATES","55075 Golik Lane",,"AK","99635",,"Nikiski","UNITED STATES","PO Box 6904",,"AK","99635",
"UNIFI AVIATION, LLC",2145942,"Unifi Aviation, LLC","Active",12/21/2021,10/27/2025,12/31/2027,"No","Ketchikan","UNITED STATES","1000 Terminal Way",,"AK","99901",,"Atlanta","UNITED STATES","950 East Paces Ferry Rd NE","Suite 2000","GA","30326",
"National Parks Conservation Association",2145943,"National Parks Conservation","Active",12/21/2021,10/10/2024,12/31/2026,"No","WASHINGTON","UNITED STATES","777 6TH ST NW STE 700","SUITE 700","DC","20001",,"WASHINGTON","UNITED STATES","777 6TH STREET NW","SUITE 700","DC","20001",
"MONEX INC.",2145948,"MONEX INC.","Active",12/15/2021,10/20/2025,12/31/2027,"No","WASHINGTON","UNITED STATES","1101 K Street NW Ste 600",,"DC","20005",,"WASHINGTON","UNITED STATES","1101 K Street NW Ste 600",,"DC","20005",
"Linnea McAfoose",2145950,"Interact Therapy","Active",12/21/2021,10/17/2025,12/31/2027,"Yes","GIBSONIA","UNITED STATES","2942 E. Bardonner Rd","4128485614","PA","15044",,"GIBSONIA","UNITED STATES","2942 E Bardonner Rd",,"PA","15044",
"NOrthern ENDeavors LLC",2145951,"NOrthern ENDeavors LLC","Active",12/21/2021,12/30/2025,12/31/2026,"No","PALMER","UNITED STATES","16960 E LORI ANN CIR",,"AK","99645",,"PALMER","UNITED STATES","16960 E LORI ANN CIR",,"AK","99645",
"DIVINE LOVE ASSISTED LIVING HOME LLC",2145952,"DIVINE LOVE ASSISTED LIVING HOME LLC","Active",12/21/2021,11/6/2025,12/31/2027,"No","ANCHORAGE ","UNITED STATES","8630 KUSHTAKA CIRCLE",,"AK","99504",,"ANCHORAGE ","UNITED STATES","8630 KUSHTAKA CIRCLE",,"AK","99504",
"Gary Thorne",2145954,"Thorne snow Removel","Active",12/21/2021,12/11/2024,12/31/2026,"No","Cordova","UNITED STATES",".03 sawmill bay rd.","box2215","AK","99574",,"Cordova","UNITED STATES","P.O. Box 2215",,"AK","99574",
"Jeff Groves",2145960,"Klondike Draw","Active",12/21/2021,10/11/2025,12/31/2027,"No","Anchorage","UNITED STATES","12740 Rivulet Cir.",,"AK","99516",,"Anchorage","UNITED STATES","12740 Rivulet Cir.",,"AK","99516",
"Alaska Pablo's Bike Rentals LLC",2145964,"Alaska Pablo's Bike Rentals","Active",12/21/2021,10/7/2025,12/31/2027,"No","Anchorage","UNITED STATES","415 L Street","same","AK","99501",,"Anchorage","UNITED STATES","415 L Street",,"AK","99501",
"Country Time Rentals, L.L.C.",2145966,"Country Time Rentals, L.L.C.","Active",12/21/2021,10/11/2025,12/31/2027,"No","SUTTON","UNITED STATES","2422 E BANNON WAY",,"AK","99674",,"SUTTON","UNITED STATES","PO BOX 222",,"AK","99674",
"Faith, LLC",2145971,"Ramen House","Active",12/21/2021,12/2/2025,12/31/2027,"No","Anchorage","UNITED STATES","149 E Fireweed Ln",,"AK","99503",,"Anchorage","UNITED STATES","149 E Fireweed Ln",,"AK","99503",
"Ocean Vibes LLC",2145974,"Ocean Vibes LLC","Active",12/21/2021,12/19/2025,12/31/2026,"No","Homer","UNITED STATES","126 W Pioneer Ave Ste 7 & 8",,"AK","99603",,"Homer","UNITED STATES","126 W Pioneer Ave Ste 7 & 8",,"AK","99603",
"Petru Postolachi",2145975,"M W Services ","Active",12/21/2021,1/1/2026,12/31/2026,"No","Anchorage","UNITED STATES","9157 Dewberry Street",,"AK","99502",,"Anchorage","UNITED STATES","9157 Dewberry Street",,"AK","99502",
"TRM LLC",2145978,"TRM LLC","Active",12/21/2021,12/9/2024,12/31/2026,"No","Wasilla","UNITED STATES","6751 E Homebuilt Cir #3",,"AK","99654",,"WASILLA","UNITED STATES","PO BOX 872589",,"AK","99687",
"Lulay Enterprises, LLP",2145980,"Lulay Enterprises, LLP","Active",12/21/2021,1/15/2026,12/31/2027,"No","Anchorage","UNITED STATES","6230 A Street",,"AK","99518",,"Anchorage","UNITED STATES","6230 A Street",,"AK","99518",
"Anchored Alaska Rental Company, LLC",2145981,"Anchored Alaska Rental Company, LLC","Active",12/21/2021,12/13/2024,12/31/2026,"No","Ninilchik","UNITED STATES","15705 Brody Rd.",,"AK","99639",,"Ninilchik","UNITED STATES","PO Box 39641",,"AK","99639",
"Black Diamond Room, LLC",2145985,"Black Diamond Room, LLC","Active",12/21/2021,10/8/2025,12/31/2027,"No","Anchorage","UNITED STATES","9478 Autumn Ridge Circle","9072500907","AK","99507",,"Anchorage","UNITED STATES","9478 Autumn Ridge Circle",,"AK","99507",
"Marina Nedom",2145994,"True North Wellness","Active",12/21/2021,1/4/2026,12/31/2026,"No","Anchorage ","UNITED STATES","2501 Brooke dr",,"AK","99517",,"Anchorage","UNITED STATES","2501 Brooke dr",,"AK","99517",
"Annie Brace",2145995,"Corso Graphics","Active",12/21/2021,1/9/2026,12/31/2027,"No","Anchorage","UNITED STATES","8831 Pathfinder Circle",,"AK","99516",,"Anchorage","UNITED STATES","8831 Pathfinder Circle",,"AK","99516",
"Hansen Engineering, Inc.",2145999,"Hansen Engineering, Inc.","Active",12/21/2021,1/6/2026,12/31/2026,"No","Palmer","UNITED STATES","2605 N Old Glenn Hwy",,"AK","99645","7549","Palmer","UNITED STATES","2605 N Old Glenn Hwy",,"AK","99645","7549"
"MVMK, LLC",2146000,"MVMK, LLC","Active",12/21/2021,12/31/2025,12/31/2027,"No","Bethel","UNITED STATES","5410 Noel Polty Blvd.",,"AK","99559",,"Bethel","UNITED STATES","PO Box 2927",,"AK","99559",
"BGH Investments, LLC",2146001,"BGH Investments, LLC","Active",12/21/2021,10/29/2025,12/31/2027,"No","Anchorage","UNITED STATES","801 E. 82nd Avenue B11",,"AK","99518",,"Anchorage","UNITED STATES","801 E. 82nd Avenue B11",,"AK","99518",
"Clayton Cranor",2146004,"Wildlife Aviation Services","Active",12/21/2021,10/1/2025,12/31/2027,"No","North Pole","UNITED STATES","2876 Circle Loop Rd",,"AK","99705","6707","North Pole","UNITED STATES","2876 Circle Loop Rd",,"AK","99705","6707"
"Rhea's Cleaning Services LLC",2146008,"Rhea's Cleaning Services LLC","Active",12/21/2021,10/29/2024,12/31/2026,"No","Unalaska","UNITED STATES","220 Raven Way",,"AK","99685",,"Unalaska","UNITED STATES","PO Box 131",,"AK","99685",
"Sheridel Skelton",2146013,"Alaska Be Kind Bags","Active",12/21/2021,10/16/2025,12/31/2026,"No","Anchorage","UNITED STATES","7711 Big Spruce Circle",,"AK","99502",,"Anchorage","UNITED STATES","7711 Big Spruce Circle",,"AK","99502",
"Express Care AK, LLC",2146027,"Providence Urgent Care - Midtown ","Active",12/22/2021,10/10/2024,12/31/2026,"Yes","Anchorage","UNITED STATES","1200 West Northern Lights STE B",,"CA","99503",,"Anchorage","UNITED STATES","1200 West Northern Lights Ste B",,"AK","99503",
"Hopeful Path Counseling LLC",2146028,"Hopeful Path Counseling LLC","Active",12/22/2021,10/15/2024,12/31/2026,"Yes","Wasilla","UNITED STATES","5921 West Dewberry Drive",,"AK","99623",,"Wasilla","UNITED STATES","7362 West Parks Highway #523",,"AK","99623",
"T3 Aerospace, LLC",2146029,"T3 Aerospace, LLC","Active",12/22/2021,12/9/2025,12/31/2027,"No","Anchorage","UNITED STATES","880 H St, Ste 210",,"AK","99501",,"Anchorage","UNITED STATES","880 H St, Ste 210",,"AK","99501",
"Art Therapy AK LLC",2146030,"Making Space","Active",12/22/2021,10/14/2025,12/31/2027,"No","Anchorage","UNITED STATES","1441 West Northern Lights Boulevard Suite G",,"AK","99503",,"Anchorage","UNITED STATES","1441 West Northern Lights Boulevard Suite G",,"AK","99503",
"Wrangell Hardware LLC",2146034,"Ottesen's Ace Hardware","Active",12/22/2021,12/31/2024,12/31/2026,"No","Cordova","UNITED STATES","500 Water Street",,"AK","99574","1456","Cordova","UNITED STATES","PO Box 1456",,"AK","99574","1456"
"Sugar & Spice Esthetics, LLC",2146035,"Sugar & Spice Esthetics, LLC","Active",12/22/2021,12/22/2025,12/31/2027,"No","Anchorage","UNITED STATES","4205 Minnesota Dr.",,"AK","99503",,"Anchorage","UNITED STATES","P.O. Box 110765",,"AK","99511",
"Teresa Nix",2146036,"Teresa's Tasty Tamales","Active",12/22/2021,5/7/2026,12/31/2027,"No","Palmer","UNITED STATES","13726 e hay wagon way",,"AK","99645",,"Palmer","UNITED STATES","13726 e hay wagon way",,"AK","99645",
"Lincoln Park, L.L.C.",2146039,"Lincoln Park, L.L.C.","Active",12/22/2021,10/11/2025,12/31/2026,"No","Anchorage","UNITED STATES","4002 Barbara Dr",,"AK","99517",,"Anchorage","UNITED STATES","P.O. Box 90820",,"AK","99509",
"Two West Holdings LLC",2146040,"Two West Holdings LLC","Active",12/22/2021,12/8/2025,12/31/2027,"No","Fairbanks","UNITED STATES","1198 S Crown Rd",,"AK","99709","2517","Fairbanks","UNITED STATES","1198 S Crown Rd",,"AK","99709","2517"
"Michelle Glaves",2146043,"Michelle Glaves ","Active",12/22/2021,10/10/2025,12/31/2027,"No","SOLDOTNA","UNITED STATES","36595 Culver Court, Po Box 1845","9073989814","AK","99669",,"Soldotna","UNITED STATES","PO BOX 1845",,"AK","99669",
"Huntsman Stables LLC",2146048,"Huntsman Stables LLC","Active",12/22/2021,11/13/2025,12/31/2027,"No","anchorage","UNITED STATES","11688 jerome st",,"AK","99516",,"Anchorage","UNITED STATES","11688 Jerome St",,"AK","99516",
"Susan Watkins",2146049,"Susan Watkins Fine Art","Active",12/22/2021,10/1/2025,12/31/2027,"No","Kasilof","UNITED STATES","26975 Williwa St","PO Box1093","AK","99610",,"Kasilof","UNITED STATES","26975 Williwa St","1093","AK","99610",
"ANKROM MOISAN ASSOCIATED ARCHITECTS, INC.",2146050,"ANKROM MOISAN ASSOCIATED ARCHITECTS, INC.","Active",12/22/2021,12/18/2024,12/31/2026,"No","Portland","UNITED STATES","38 NW Davis Street, Suite 300","Attn: Risk Management","OR","97209",,"Portland","UNITED STATES","38 NW Davis Street, Suite 300","Attn: Risk Management","OR","97209",
"Relagon LLC",2146051,"Relagon LLC","Active",12/22/2021,11/14/2025,12/31/2027,"No","Anchorage","UNITED STATES","4579 Campbell Park Loop",,"AK","99507",,"Anchorage","UNITED STATES","4579 Campbell Park Loop",,"AK","99507",
"Perkup Espresso, LLC",2146057,"PERKUP ESPRESSO, LLC","Active",12/22/2021,12/12/2025,12/31/2027,"No","Wasilla","UNITED STATES","3700 E Palmer Wasilla Hwy",,"AK","99654",,"Wasilla","UNITED STATES","2521 E Mtn Village Dr","Ste B PMB 378","AK","99654",
"JEFF PRALLE SERVICES, LLC",2146061,"High Country Alaska","Active",12/22/2021,10/23/2025,12/31/2027,"No","Wasilla","UNITED STATES","3150 N Caribou Street","Box 176","AK","99654",,"Wasilla","UNITED STATES","3060 N Lazy Eight Ct Suite 2 ","Box 176","AK","99654","4331"
"AVI HOLDING, INC.",2146065,"AVI Holding Inc.","Active",12/22/2021,10/6/2025,12/31/2027,"No","ANCHORAGE","UNITED STATES","1577 C ST STE 304","9072745400","AK","99501",,"ANCHORAGE","UNITED STATES","1577 C ST STE 304",,"AK","99501",
"Kraken Shirt Company LLC",2146067,"Kraken Shirt Company LLC","Active",12/22/2021,1/3/2026,12/31/2026,"No","Anchorage","UNITED STATES","3705 Arctic Blvd","PMB 2304","AK","99503",,"Anchorage","UNITED STATES","3705 Arctic Blvd","PMB 2304","AK","99503",
"ISE LOGISTICS VENTURES LLC",2146068,"ISE Logistics Ventures LLC","Active",12/22/2021,10/24/2024,12/31/2026,"No","Anchorage","UNITED STATES","1301 North Post Road",,"AK","99501",,"Anchorage","UNITED STATES","PO Box 142224",,"AK","99514",
"Golden North Logistics, Inc.",2146072,"GOLDEN NORTH LOGISTICS, INC.","Active",12/22/2021,11/4/2025,12/31/2027,"No","Anchorage","UNITED STATES","940 RASPBERRY RD.",,"AK","99518",,"Anchorage","UNITED STATES","940 RASPBERRY RD.",,"AK","99518",
"Brent Wells",2146073,"Better Health Alaska","Active",12/22/2021,1/7/2026,12/31/2026,"No","Anchorage","UNITED STATES","8840 Old Seward Hwy","Suite E","AK","99515",,"Anchorage","UNITED STATES","8840 Old Seward Hwy","Suite E","AK","99515",
"Phlebotomy Training Specialists (USA), LLC ",2146077,"PHLEBOTOMY TRAINING SPECIALISTS","Active",12/14/2021,10/7/2025,12/31/2027,"No","ANCHORAGE","UNITED STATES","3030 DENALI ST STE 10",,"AK","99503",,"LINDON","UNITED STATES","2570 W 600 N STE 400",,"UT","84042",
"Alexandra  Brodie ; Forrest Savel;",2146078,"Raspberry Suites ","Active",12/22/2021,12/9/2025,12/31/2027,"No","Anchorage ","UNITED STATES","6700 Weimer Drive",,"AK","99502",,"Anchorage ","UNITED STATES","6700 Weimer Drive Unit 4 ",,"AK","99502",
"General Pacific, Inc.",2146079,"General Pacific, Inc.","Active",12/22/2021,3/17/2025,12/31/2026,"No","FAIRVIEW","UNITED STATES","22414 NE Townsend Way",,"OR","97024","0070","FAIRVIEW","UNITED STATES","PO BOX 70",,"OR","97024","0070"
"Alaskan Piano Services, Inc",2146081,"Alaska Piano Services, Inc","Active",12/22/2021,10/18/2025,12/31/2027,"No","ANCHORAGE","UNITED STATES","1480 N HEATHER MEADOWS LP",,"AK","99507",,"ANCHORAGE","UNITED STATES","1480 N HEATHER MEADOWS LP",,"AK","99507",
"Savoonga Reindeer Commercial Company, LLC",2146083,"Savoonga Reindeer Commercial Company, LLC","Active",12/22/2021,12/1/2025,12/31/2027,"No","Savoonga","UNITED STATES","1 Qemiq Road",,"AK","99769",,"Savoonga","UNITED STATES","PO Box 120",,"AK","99769",
"907RealEstatebyJOS LLC",2146087,"907RealEstatebyJOS","Active",12/22/2021,12/10/2024,12/31/2026,"No","Wasilla","UNITED STATES","1150 E North Star Cir #1",,"AK","99654",,"Wasilla","UNITED STATES","PO BOX 870602",,"AK","99687","0602"
"Foster Enterprises LLC",2146088,"Foster Enterprises LLC","Active",12/22/2021,12/28/2025,12/31/2027,"No","Ester","UNITED STATES","4449 Rose Court",,"AK","99709",,"Fairbanks","UNITED STATES","PO Box 82195",,"AK","99708",
"KBP Investments, LLC",2146089,"KBP Investments, LLC","Active",12/22/2021,10/29/2024,12/31/2026,"No","Wasilla","UNITED STATES","1051 E. Bogard Rd.",,"AK","99654",,"GREELEY","UNITED STATES","27904 CR 60 1/2",,"CO","80631",
"Turner St. Properties, LLC",2146092,"Turner St. Properties, LLC","Active",12/22/2021,10/24/2025,12/31/2026,"No","Fairbanks","UNITED STATES","2663 Turner St",,"AK","99701",,"Eagle River","UNITED STATES","23014 Eagle Glacier Loop",,"AK","99577",
"Tachyon, LLC.",2146099,"Tachyon, LLC.","Active",12/22/2021,10/5/2025,12/31/2027,"No","Anchorage ","UNITED STATES","9218 Campbell Terrace Drive ",,"AK","99502","1548","Anchorage ","UNITED STATES","9218 Campbell Terrace Drive ",,"AK","99502","1548"
"Maria Fourier",2146100,"Coal Town Coffee and Tea","Active",12/22/2021,10/30/2025,12/31/2027,"No","Homer","UNITED STATES","4306 Homer Spit Road",,"AK","99603",,"Homer","UNITED STATES","4625 Lincoln Circle",,"AK","99603",
"Natalia Tkach",2146101,"N&O Cleaning Service","Active",12/22/2021,10/2/2025,12/31/2026,"No","Anchorage","UNITED STATES","2145 Dawnlight Ct","9075381888","AK","99501",,"Anchorage","UNITED STATES","2145 Dawnlight Ct",,"AK","99501",
"NTVI Federal, Inc.",2146114,"NTVI Communications","Active",12/23/2021,10/29/2024,12/31/2026,"No","Fairbanks","UNITED STATES","529 6th Avenue Suite 203A","Suite 203A","AK","99701",,"Fairbanks","UNITED STATES","P.O. Box 72880",,"AK","99707",
"NTVI Federal, Inc.",2146116,"Borealis Enterprises, LLC","Active",12/23/2021,12/8/2025,12/31/2027,"No","Fairbanks","UNITED STATES","529 6th Avenue","Suite 203A","AK","99701",,"Fairbanks","UNITED STATES","P.O. Box 72880",,"AK","99707",
"Randy Nabb",2146119,"Raven's Nook","Active",12/23/2021,12/8/2025,12/31/2027,"No","Seward","UNITED STATES","701 5th Ave. box 1702","9073553954","AK","99664","1702","SEWARD","UNITED STATES","P.O. Box 1702","701 5th Ave","AK","99664","1702"
"Michelle Goldstein",2146121,"Alaska Creative Concepts","Active",12/23/2021,2/28/2026,12/31/2026,"No","Anchorage","UNITED STATES","8430 East 32nd Avenue","B","AK","99504",,"Anchorage","UNITED STATES","8430 E 32nd Ave B","B","AK","99504",
"Dave Bernert & Associates LLC",2146122,"Dave Bernert & Associates LLC","Active",12/23/2021,12/30/2025,12/31/2026,"No","Anchorage","UNITED STATES","12800 WELLSFORD CIR","9072293959","AK","99516",,"Anchorage","UNITED STATES","12800 Wellsford Circle",,"AK","99516",
"Marc Denison; Kristine Denison;",2146124,"Marc Enterprises","Active",12/23/2021,12/4/2025,12/31/2027,"No","Sterling","UNITED STATES","38590 Adkins Rd",,"AK","99672",,"Sterling","UNITED STATES","PO Box 651",,"AK","99672",
"Safe Harbor Broadcasting, Incorporated",2146125,"Safe Harbor Broadcasting, Incorporated","Active",12/23/2021,12/6/2025,12/31/2026,"No","Homer","UNITED STATES","1295 Mission Road","9073041057","AK","99603",,"Homer","UNITED STATES","P.O. Box 2446",,"AK","99603",
"Rock On Racing LLC",2146130,"Rock On Racing LLC","Active",12/23/2021,2/10/2025,12/31/2026,"No","WILLOW","UNITED STATES","47717 S SHAMAN RD",,"AK","99688",,"WILLOW","UNITED STATES","PO BOX 126",,"AK","99688",
"Southpark Rentals LLC",2146136,"Southpark Rentals LLC","Active",12/23/2021,11/10/2025,12/31/2026,"No","Anchorage","UNITED STATES","13832 Arboretum Street",,"AK","99516",,"Anchorage","UNITED STATES","13832 Arboretum Street",,"AK","99516",
"RM Cleaning Services, LLC",2146137,"RM Cleaning Services, LLC","Active",12/23/2021,12/26/2025,12/31/2027,"No","Anchorage","UNITED STATES","3841 Amber Bay Lp.",,"AK","99515",,"Anchorage ","UNITED STATES","PO Box 222323",,"AK","99522",
"Swickard Anchorage II, LLC",2146138,"Swickard Chevrolet Buick GMC of Anchorage","Active",12/23/2021,11/17/2025,12/31/2026,"No","Anchorage","UNITED STATES","1300 East 5th Ave",,"AK","99501",,"Las Vegas","UNITED STATES","1650 Spring Gate Lane",,"NV","89137",
"Debra Boyle",2146139,"Wild Lens","Active",12/23/2021,10/28/2025,12/31/2027,"No","Nikiski","UNITED STATES","49729 DeBusk Dr",,"AK","99635",,"Kenai","UNITED STATES","49729 DeBusk Dr",,"AK","99611",
"MARINE CHEMIST CONSULTING, LLC",2146140,"MARINE CHEMIST CONSULTING, LLC","Active",12/23/2021,1/15/2026,12/31/2027,"No","Anchorage","UNITED STATES","3780 Lincoln Ellsworth",,"AK","99517",,"ANCHORAGE","UNITED STATES","PO Box 91483",,"AK","99509",
"TWB INVESTMENTS, LLC",2146141,"TWB Investments, LLC","Active",12/23/2021,1/8/2026,12/31/2027,"No","Anchorage","UNITED STATES","1029 W 3rd","#550","AK","99501",,"WASILLA","UNITED STATES","PO Box 872388",,"AK","99687",
"Krystal Rogers LLC",2146142,"Krystal Rogers LLC","Active",12/23/2021,11/4/2025,12/31/2026,"No","Wasilla","UNITED STATES","1689 S Knik-Goose Bay Rd Ste 100",,"AK","99654",,"Wasilla","UNITED STATES","1689 S Knik-Goose Bay Rd Ste 100",,"AK","99654",
"Alaska Weather Consulting, LLC",2146144,"Alaska Weather Consulting, LLC","Active",12/23/2021,12/30/2024,12/31/2026,"No","Whittier","UNITED STATES","100 Kenai Street","STE 911/912","AK","99693","0735","Whittier","UNITED STATES","P.O. Box 735",,"AK","99693","0735"
"Cygnet Psychological Services LLC	",2146145,"CYGNET PSYCHOLOGICAL SERVICES LLC","Active",12/17/2021,12/11/2025,12/31/2027,"Yes","ANCHORAGE","UNITED STATES","821 N ST STE 102",,"AK","99501",,"ANCHORAGE","UNITED STATES","821 N ST STE 102",,"AK","99501",
"KM3, LLC",2146148,"KM3, LLC","Active",12/23/2021,10/24/2024,12/31/2026,"No","Anchorage","UNITED STATES","1205 East International Airport Road Suite 100",,"AK","99518",,"Anchorage","UNITED STATES","1205 East International Airport Road Suite 100",,"AK","99518",
